"","sp_prey","Big skate","Bighand thornyhead","Dover sole","Dusky rockfish","Longnose skate","Longspine thornyhead","Sebastolobus spp.","Shortsp Thorny"
"1","AK Plaice",NA,NA,0,NA,0,NA,NA,0
"2","AK Skate",NA,NA,0,NA,0,NA,NA,0
"3","Aleutian Skate",NA,NA,0,NA,0,NA,NA,0
"4","Algae",NA,NA,0,NA,0,NA,NA,0
"5","Anemones",NA,NA,0,NA,0,NA,NA,0
"6","Arrow or Kam",NA,NA,0,NA,0,NA,NA,0
"7","Arrowtooth",NA,NA,0,NA,0,NA,NA,0
"8","Atka",NA,NA,0,NA,0,NA,NA,0
"9","Bairdi",NA,NA,0,NA,0.405814767493858,NA,NA,0.00933504356793196
"10","Bathylagidae",NA,NA,0,NA,0,NA,NA,0
"11","Benth Amph",NA,NA,0.092251908926539,NA,0,NA,NA,0.0460905285494189
"12","Benth. Hydroid",NA,NA,0,NA,0,NA,NA,0
"13","Benth. Urochordata",NA,NA,0,NA,0,NA,NA,0
"14","Bering Skate",NA,NA,0,NA,0,NA,NA,0
"15","Big Skate",NA,NA,0,NA,0,NA,NA,0
"16","Bighand Thorny",NA,NA,0,NA,0,NA,NA,0
"17","Birds",NA,NA,0,NA,0,NA,NA,0
"18","Black Skate",NA,NA,0,NA,0,NA,NA,0
"19","Bocaccio",NA,NA,0,NA,0,NA,NA,0
"20","Brittle Star",NA,NA,0.512351734501355,NA,0,NA,NA,0.00261211251752883
"21","Canary Rock",NA,NA,0,NA,0,NA,NA,0
"22","Capelin",NA,NA,0,NA,0,NA,NA,0
"23","Chaeteg etc.",NA,NA,0,NA,0,NA,NA,0
"24","Clam",NA,NA,0.0221021132071771,NA,0,NA,NA,0
"25","Commander Skate",NA,NA,0,NA,0,NA,NA,0
"26","Complete Misc",NA,NA,0,NA,0,NA,NA,0
"27","Copepod",NA,NA,0,NA,0,NA,NA,0
"28","Deepsea Skate",NA,NA,0,NA,0,NA,NA,0
"29","Dogfish",NA,NA,0,NA,0,NA,NA,0
"30","Dover Sole",NA,NA,0,NA,0,NA,NA,0
"31","Dungeness",NA,NA,0,NA,0,NA,NA,0
"32","Dusky Rock",NA,NA,0,NA,0,NA,NA,0
"33","Eelpout",NA,NA,0,NA,0,NA,NA,0.00433988287323257
"34","Empty",NA,NA,0,NA,0,NA,NA,0
"35","Eulachon",NA,NA,0,NA,0,NA,NA,0
"36","Euphausiid",NA,NA,0.0082060440287356,NA,0,NA,NA,0.0844736197270475
"37","FH Sole",NA,NA,0,NA,0,NA,NA,0
"38","Fish Eggs",NA,NA,0,NA,0,NA,NA,0
"39","Gen Rock Sole",NA,NA,0,NA,0,NA,NA,0
"40","Gen Thorny",NA,NA,0,NA,0,NA,NA,0
"41","Gen. Cephalopod",NA,NA,0.000372951052249569,NA,0,NA,NA,0
"42","Gen. Clupeids",NA,NA,0,NA,0,NA,NA,0
"43","Gen. Crab",NA,NA,0,NA,0.00424296170888899,NA,NA,0.00192559787278031
"44","Gen. Crustacea",NA,NA,0,NA,0,NA,NA,0.160015048154315
"45","Gen. Echinoderm",NA,NA,0,NA,0,NA,NA,0
"46","Gen. Fish",NA,NA,0,NA,0.00177679883532321,NA,NA,0.106776343359222
"47","Gen. Flatfish",NA,NA,0,NA,0,NA,NA,0.00225313483820156
"48","Gen. Gadid",NA,NA,0,NA,0,NA,NA,0
"49","Gen. Hexagrammidae",NA,NA,0,NA,0,NA,NA,0
"50","Gen. Hydrozoa",NA,NA,0,NA,0,NA,NA,0
"51","Gen. Mollusc",NA,NA,0.00085304708197425,NA,0,NA,NA,0
"52","Gen. Particulate",NA,NA,0,NA,0,NA,NA,0
"53","Gen. Rockfish",NA,NA,0,NA,0,NA,NA,0
"54","Gen. Rocks et al",NA,NA,0,NA,0,NA,NA,0
"55","Gen. Salmoniformes",NA,NA,0,NA,0,NA,NA,0
"56","Gen. Sebastes",NA,NA,0,NA,0,NA,NA,0
"57","Gen. Shark Skate",NA,NA,0,NA,0,NA,NA,0
"58","Gen. Smelt",NA,NA,0,NA,0,NA,NA,0
"59","Giant Grenadier",NA,NA,0,NA,0,NA,NA,0
"60","Glopp",NA,NA,0.00245314694038729,NA,0,NA,NA,0.0013676430784725
"61","Gr. Turbot",NA,NA,0,NA,0,NA,NA,0
"62","Greenlings",NA,NA,0,NA,0,NA,NA,0
"63","Hake",NA,NA,0,NA,0,NA,NA,0
"64","Hermit Crab",NA,NA,0,NA,0,NA,NA,0.0158801556468029
"65","Herring",NA,NA,0,NA,0,NA,NA,0
"66","Kamchat fl",NA,NA,0,NA,0,NA,NA,0
"67","King Crab",NA,NA,0,NA,0,NA,NA,0
"68","Leopard Skate",NA,NA,0,NA,0,NA,NA,0
"69","Lg Sculpin",NA,NA,0,NA,0,NA,NA,0
"70","Lingcod",NA,NA,0,NA,0,NA,NA,0
"71","Longnose Skate",NA,NA,0,NA,0,NA,NA,0
"72","Longsp Thorny",NA,NA,0,NA,0,NA,NA,0
"73","Macrouridae",NA,NA,0,NA,0,NA,NA,0
"74","Managed Forage",NA,NA,0,NA,0,NA,NA,0
"75","Misc. Crab",NA,NA,0,NA,0.201645895364117,NA,NA,0.0259346553589525
"76","Misc. Crustacean",NA,NA,0.00348443826857896,NA,0,NA,NA,0.0525361395417509
"77","Misc. Flatfish",NA,NA,0,NA,0,NA,NA,0
"78","Misc. Worm. Etc.",NA,NA,0.0153670742738366,NA,0,NA,NA,0
"79","Mud Skate",NA,NA,0,NA,0,NA,NA,0
"80","Myctophidae",NA,NA,0,NA,0,NA,NA,0
"81","Mysid",NA,NA,0.00183031410316169,NA,0,NA,NA,0.0632693437010904
"82","N Rock Sole",NA,NA,0,NA,0,NA,NA,0
"83","Northern Rock",NA,NA,0,NA,0,NA,NA,0
"84","NP Shrimp",NA,NA,0,NA,0.0664800810520535,NA,NA,0.207832740678221
"85","Octopus",NA,NA,0,NA,0,NA,NA,0.00335990932121231
"86","Offal",NA,NA,0,NA,0.177812830986708,NA,NA,0
"87","Okhotsk Skate",NA,NA,0,NA,0,NA,NA,0
"88","Opilo",NA,NA,0,NA,0,NA,NA,0
"89","Oth pel. smelt",NA,NA,0,NA,0,NA,NA,0
"90","Oth pel. Smelt",NA,NA,0,NA,0,NA,NA,0
"91","P. Cod",NA,NA,0,NA,0,NA,NA,0
"92","P. Halibut",NA,NA,0,NA,0,NA,NA,0
"93","Pacific Grenadier",NA,NA,0,NA,0,NA,NA,0
"94","Pandalidae",NA,NA,0,NA,0.142226664559052,NA,NA,0.0997537215421366
"95","Pel Amph",NA,NA,0.00119819346379577,NA,0,NA,NA,9.85808855303342e-05
"96","Pel. Gel. Filter Feeder",NA,NA,0,NA,0,NA,NA,0
"97","Polychaete",NA,NA,0.295561195553308,NA,0,NA,NA,0.0161116548989471
"98","POP",NA,NA,0,NA,0,NA,NA,0
"99","Prickle squish deep",NA,NA,0,NA,0,NA,NA,0
"100","Prickle squish round",NA,NA,0,NA,0,NA,NA,0
"101","Protozoan",NA,NA,0.000190814719472665,NA,0,NA,NA,0
"102","Pteropod",NA,NA,0,NA,0,NA,NA,0
"103","Ratfish",NA,NA,0,NA,0,NA,NA,0
"104","Rex sole",NA,NA,0,NA,0,NA,NA,0
"105","Rougheye Rock",NA,NA,0,NA,0,NA,NA,0
"106","S Rock Sole",NA,NA,0,NA,0,NA,NA,0
"107","Sablefish",NA,NA,0,NA,0,NA,NA,0
"108","Salmon",NA,NA,0,NA,0,NA,NA,0
"109","Sandlance",NA,NA,0,NA,0,NA,NA,0
"110","Sculpin",NA,NA,0,NA,0,NA,NA,0
"111","Scypho Jellies",NA,NA,0,NA,0,NA,NA,0
"112","Sea Pens",NA,NA,0,NA,0,NA,NA,0
"113","Sea Star",NA,NA,0.0120150097909283,NA,0,NA,NA,0
"114","Sebastes",NA,NA,0,NA,0,NA,NA,0
"115","Sharpchin Rock",NA,NA,0,NA,0,NA,NA,0
"116","Shortraker Rock",NA,NA,0,NA,0,NA,NA,0
"117","Shortsp Thorny",NA,NA,0,NA,0,NA,NA,0
"118","Sleeper Shark",NA,NA,0,NA,0,NA,NA,0
"119","Snail",NA,NA,0.00435064801317822,NA,0,NA,NA,0
"120","Sponge",NA,NA,0.000330165927969321,NA,0,NA,NA,0
"121","Squid",NA,NA,0.000132845558938999,NA,0,NA,NA,0.0253792610868355
"122","Unid Bathyraja",NA,NA,0,NA,0,NA,NA,0
"123","Unid Chion",NA,NA,0,NA,0,NA,NA,0.0706548828003685
"124","Unid Rajidae",NA,NA,0,NA,0,NA,NA,0
"125","Urchins dollars cucumbers",NA,NA,0.0269483545884139,NA,0,NA,NA,0
"126","W. Pollock",NA,NA,0,NA,0,NA,NA,0
"127","Whitebrow Skate",NA,NA,0,NA,0,NA,NA,0
"128","WhtBlotch Skate",NA,NA,0,NA,0,NA,NA,0
"129","Widow Rock",NA,NA,0,NA,0,NA,NA,0
"130","Yellowtail Rock",NA,NA,0,NA,0,NA,NA,0
"131","YF Sole",NA,NA,0,NA,0,NA,NA,0
"132",NA,0,0,0,0,0,0,0,0
