"","sp_prey","AK Plaice","butter sole","English sole","N. Rock sole","Northern Rock","sand sole","slender sole","southern rock sole","starry flounder","YF. Sole"
"1","AK Plaice",0,0,0,0,0,0,0,0,0,0
"2","AK Skate",0,0,0,0,0,0,0,0,0,0
"3","Aleutian Skate",0,0,0,0,0,0,0,0,0,0
"4","Algae",0,0,0,0,0,0,0,0,0,0
"5","Anemones",0,0,0,0.0369935130922498,0,0,0,0.000417875213534479,0,0
"6","Arrow or Kam",0,0,0,0,0,0,0,0,0,0
"7","Arrowtooth",0,0,0,0,0.000353875016288822,0,0,0.0289200381686768,0,0
"8","Atka",0,0,0,0,0,0,0,0,0,0
"9","Bairdi",0,0,0,6.51306303648885e-05,5.37548821874231e-05,0,0,0.0036570520530977,0,0
"10","Bathylagidae",0,0,0,0,0,0,0,0,0,0
"11","Benth Amph",0.000555728927844093,0.0310327868487531,0.0115248894826705,0.0490909040008417,0.0312300843528889,0,0,0.0846663876953273,6.68888318874778e-05,0.0143593849700856
"12","Benth. Hydroid",0,0,0,0,0,0,0,0,0,0
"13","Benth. Urochordata",0,0,0,0.00090552570484765,0.000105278232731834,0,0,0.000328070677052714,0,0
"14","Bering Skate",0,0,0,0,0,0,0,0,0,0
"15","Big Skate",0,0,0,0,0,0,0,0,0,0
"16","Bighand Thorny",0,0,0,0,0,0,0,0,0,0
"17","Birds",0,0,0,0,0,0,0,0,0,0
"18","Black Skate",0,0,0,0,0,0,0,0,0,0
"19","Bocaccio",0,0,0,0,0,0,0,0,0,0
"20","Brittle Star",0.00165927365114181,0.0585200396544665,0.208583874660295,0.0572466901195474,0,0,0,0.0501654260739282,0.000567266977155349,0.0733445268999876
"21","Canary Rock",0,0,0,0,0,0,0,0,0,0
"22","Capelin",0,0,0,0,0,0,0,0,0.203133233604967,0
"23","Chaeteg etc.",0,0,0,0,0.00143596117674898,0,0,0,0,0
"24","Clam",0.416382965795377,0.133609031889728,0.506125671625442,0.0586305974381536,0,0,0,0.168211621279536,0.790030863886288,0.121864066820916
"25","Commander Skate",0,0,0,0,0,0,0,0,0,0
"26","Complete Misc",0,0,0,0,0,0,0,0,0,0
"27","Copepod",0,0,0,6.69091240228686e-05,0.0925075665727725,0,0,0,0,0.00015856878519279
"28","Deepsea Skate",0,0,0,0,0,0,0,0,0,0
"29","Dogfish",0,0,0,0,0,0,0,0,0,0
"30","Dover Sole",0,0,0,0,0,0,0,0,0,0
"31","Dungeness",0,0,0,0,0,0,0,0,0,0
"32","Dusky Rock",0,0,0,0,0,0,0,0,0,0
"33","Eelpout",0,0,0,0,0.0148655809348528,0,0,0,0,0
"34","Empty",0,0,0,0,0,0,0,0,0,0
"35","Eulachon",0,0,0,0,0,0,0,0,0,0
"36","Euphausiid",0,0,0,0.0250449947682348,0.592553172026356,0,0,0.000468493291388885,0,0
"37","FH Sole",0,0,0,0,0,0,0,0,0,0
"38","Fish Eggs",0,0,0,0,0,0,0,0,0,0
"39","Gen Rock Sole",0,0,0,0,0,0.355890126709505,0,0.002618022066358,0,0
"40","Gen Thorny",0,0,0,0,0,0,0,0,0,0
"41","Gen. Cephalopod",0,0,0,0.000847423052150797,0.00342252858628098,0,0,0.00218196106083898,0,0
"42","Gen. Clupeids",0,0,0,0,0,0,0,0,0,0
"43","Gen. Crab",0.000450479186164248,0,0,9.20000455314443e-05,0.000276806391059621,0,0,0.00308628075504752,0,0.00248293298704508
"44","Gen. Crustacea",0,0,0,0.00409128221940782,0.000384596716914951,0,0,0,0,0
"45","Gen. Echinoderm",0,0,0,0,0,0,0,0,0,0
"46","Gen. Fish",0,0.0567910178245726,0,0.00533754307174292,0.0586880746085377,0,0,0.0269243207102967,0,0
"47","Gen. Flatfish",0,0,0,0,0,0.34646466386388,0,0.0192443828243964,0,0
"48","Gen. Gadid",0,0,0,0,0.00332602053364121,0,0,0,0,0
"49","Gen. Hexagrammidae",0,0,0,0,0,0,0,0,0,0
"50","Gen. Hydrozoa",0,0,0,0,0,0,0,0,0,0
"51","Gen. Mollusc",0.00609446763418329,0.0486704107233738,0,0.0163557460009686,0,0,0,0.00136999286897936,0,0.00362705111408755
"52","Gen. Particulate",0,0,0,0,0,0,0,0,0,0.000956025701776243
"53","Gen. Rockfish",0,0,0,0,0,0,0,0,0,0
"54","Gen. Rocks et al",0,0,0,0,0,0,0,0,0,0
"55","Gen. Salmoniformes",0,0,0,0,0,0,0,0,0,0
"56","Gen. Sebastes",0,0,0,0,0.0025211415540393,0,0,0,0,0
"57","Gen. Shark Skate",0,0,0,0,0,0,0,0,0,0
"58","Gen. Smelt",0,0,0,0,0,0,0,0,0,0
"59","Giant Grenadier",0,0,0,0,0,0,0,0,0,0
"60","Glopp",0,0.0832594998842078,0,0.0106672691545614,0.0117091094101984,0.0272763443281906,0,0.0153748180848364,0,0.00868325136645756
"61","Gr. Turbot",0,0,0,0,0,0,0,0,0,0
"62","Greenlings",0,0,0,0,0,0,0,0,0,0
"63","Hake",0,0,0,0,0,0,0,0,0,0
"64","Hermit Crab",0,0,0,0.0104738978772369,0.000664068409217748,0,0,0.0357042784359557,0,0.0270152073395168
"65","Herring",0,0,0,0,0,0,0,0,0,0
"66","Kamchat fl",0,0,0,0,0,0,0,0,0,0
"67","King Crab",0,0,0,0,0,0,0,0,0,0
"68","Leopard Skate",0,0,0,0,0,0,0,0,0,0
"69","Lg Sculpin",0,0,0,0,0,0,0,0,0,0
"70","Lingcod",0,0,0,0,0,0,0,0,0,0
"71","Longnose Skate",0,0,0,0,0,0,0,0,0,0
"72","Longsp Thorny",0,0,0,0,0,0,0,0,0,0
"73","Macrouridae",0,0,0,0,0,0,0,0,0,0
"74","Managed Forage",0,0,0,0,0,0.0268872031675421,0,0,0,0
"75","Misc. Crab",0.00173779857284263,0.0189370668839614,0,0.0086565487515635,0,0,0,0.0367291757707985,0,0
"76","Misc. Crustacean",0,0.357639857936144,0.00548141731497676,0.100680861753859,0,0,0,0.0349803834605954,0,0.00113918843161922
"77","Misc. Flatfish",0,0,0,0,0,0,0,0,0,0
"78","Misc. Worm. Etc.",0.0065416244423984,0.00224728389677595,0.000179779073921445,0.175925009429043,0,0,0,0.012884621059424,0,0.21422255331579
"79","Mud Skate",0,0,0,0,0,0,0,0,0,0
"80","Myctophidae",0,0,0,0,0,0,0,0,0,0
"81","Mysid",0,0,0,0.000751318842005562,0.00100154938448137,0.0621035942728555,0,0.000336319723357286,0,0
"82","N Rock Sole",0,0,0,0,0,0,0,0,0,0
"83","Northern Rock",0,0,0,0,0,0,0,0,0,0
"84","NP Shrimp",0,0,0,0.00566754338479419,0.00288440765428932,0.0562941224872873,0,0.0739019955878136,0,0.0356548115804405
"85","Octopus",0,0,0,0,0,0,0,0.00111328199322676,0,0
"86","Offal",0,0,0,0,0,0,0,0,0,0
"87","Okhotsk Skate",0,0,0,0,0,0,0,0,0,0
"88","Opilo",0,0,0,0,0,0,0,0,0,0
"89","Oth pel. smelt",0,0,0,0,0,0,0,0,0,0
"90","Oth pel. Smelt",0,0,0,0,0,0,0,0,0,0
"91","P. Cod",0,0,0,0,0,0,0,0,0,0
"92","P. Halibut",0,0,0,0,0,0,0,0.000629421906871221,0,0
"93","Pacific Grenadier",0,0,0,0,0,0,0,0,0,0
"94","Pandalidae",0,0,0,0,0,0,0,0,0,0
"95","Pel Amph",0,0.0081140162689388,0.000996218244741217,0.0124291529068323,0.0875416269172397,0,0,0.000920870764202963,0,0.000783224756070821
"96","Pel. Gel. Filter Feeder",0,0,0,0,0.0026425586155281,0,0,0,0,0
"97","Polychaete",0.564949329764829,0.0971616525598106,0.248570856831016,0.331926504413605,0,0,0,0.126290894524951,0.00244843804702969,0.202455987659043
"98","POP",0,0,0,0,0,0,0,0,0,0
"99","Prickle squish deep",0,0,0,0,0,0,0,0,0,0
"100","Prickle squish round",0,0,0,0,0.00011601179033444,0,0,0.00361979916764577,0,0
"101","Protozoan",0,0,0,0,0,0,0,1.38969345497953e-07,0,0
"102","Pteropod",0,0,0,0,0.0844123611507838,0,0,0,0,0
"103","Ratfish",0,0,0,0,0,0,0,0,0,0
"104","Rex sole",0,0,0,0,0,0,0,0,0,0
"105","Rougheye Rock",0,0,0,0,0,0,0,0,0,0
"106","S Rock Sole",0,0,0,0,0,0,0,0.0898981143155319,0,0
"107","Sablefish",0,0,0,0,0,0,0,0,0,0
"108","Salmon",0,0,0,0,0,0,0,0,0,0
"109","Sandlance",0,0.0832297270198488,0,0.00848902878145398,0,0,0,0.123102165877393,0,0.0525903824202143
"110","Sculpin",0,0,0,0,0.00049074327900111,0.125083945170739,0,0.000332784205869178,0,0
"111","Scypho Jellies",0,0,0,0,0,0,0,0,0,0
"112","Sea Pens",0,0,0,0,0,0,0,0,0,0
"113","Sea Star",0,0,0,0,0,0,0,0,0,0
"114","Sebastes",0,0,0,0,0,0,0,0,0,0
"115","Sharpchin Rock",0,0,0,0,0,0,0,0,0,0
"116","Shortraker Rock",0,0,0,0,0,0,0,0,0,0
"117","Shortsp Thorny",0,0,0,0,0,0,0,0,0,0
"118","Sleeper Shark",0,0,0,0,0,0,0,0,0,0
"119","Snail",5.3130611567133e-05,0,0,0.0181365438688081,9.85594143030559e-05,0,0,0.00135468316814974,0.000210941312195908,0.00147457859113769
"120","Sponge",0,0,0,0,0,0,0,2.52540094617041e-06,0,0
"121","Squid",0,0,0,0,0.00671456238932156,0,0,0,0,0
"122","Unid Bathyraja",0,0,0,0,0,0,0,0,0,0
"123","Unid Chion",0,0,0,0,0,0,0,0.00134216536185223,0,0.000339561976680388
"124","Unid Rajidae",0,0,0,0,0,0,0,0,0,0
"125","Urchins dollars cucumbers",0.00157520141365247,0.0207876086094182,0.018537292766937,0.0614280615681729,0,0,0,0.0427593333493864,0.00354236734047661,0.238848695283938
"126","W. Pollock",0,0,0,0,0,0,0,0.00646230413338817,0,0
"127","Whitebrow Skate",0,0,0,0,0,0,0,0,0,0
"128","WhtBlotch Skate",0,0,0,0,0,0,0,0,0,0
"129","Widow Rock",0,0,0,0,0,0,0,0,0,0
"130","Yellowtail Rock",0,0,0,0,0,0,0,0,0,0
"131","YF Sole",0,0,0,0,0,0,0,0,0,0
"132",NA,0,0,0,0,0,0,0,0,0,0
