"","sp_prey","Arrowtooth_adult","Arrowtooth_juv","FH. Sole_adult","FH. Sole_juv","P.cod_adult","P.cod_juv","P.halibut_adult","P.halibut_juv","P.ocean perch_adult","P.ocean perch_juv","P.ocean perch_NA","Rex Sole_adult","Rex Sole_juv","Sablefish_adult","W.pollock_adult","W.pollock_juv"
"1","AK Plaice",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"2","AK Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"3","Aleutian Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"4","Algae",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"5","Anemones",0,0,0,0,0.0011198849831256,0,0.00284593755108845,0,0,0,NA,0,0,0,0,0
"6","Arrow or Kam",0,0,0,0,0,0,0.000706321287640946,0,0,0,NA,0,0,0,0,0
"7","Arrowtooth",0.0285352331530957,0.00242567169907116,0,0,0.00902392695036375,0,0.00679975434489292,0,4.32380659918173e-05,0,NA,0,0,0,0.00057286893776116,0
"8","Atka",0,0,0,0,0,0,0.0161936980350813,0,0,0,NA,0,0,0,0,0
"9","Bairdi",7.21764465492337e-05,0,0.0637558884439467,0,0.0568272177851243,0.0034327654197083,0.0429897713942655,0,0,0,NA,0.000204021759290361,0,0.000138306603493273,0.0016914610553279,0
"10","Bathylagidae",0.000775454488190549,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"11","Benth Amph",0.000180156278794831,0,0.000641819572759186,0,0.00793552696300156,0.146338457613415,6.53646546939015e-05,0.190668537310468,0.00930049699792817,0,NA,0.141710883956081,0.0613966273075796,0.0247730968437634,0.0149535566101045,0.059756475429768
"12","Benth. Hydroid",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"13","Benth. Urochordata",0,0,0,0,0.000285402224325548,0,0,0,0,0,NA,0,0,0.00162193667863057,0,0
"14","Bering Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"15","Big Skate",0,0,0,0,0,0,0.0214131630935818,0,0,0,NA,0,0,0,0,0
"16","Bighand Thorny",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"17","Birds",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,4.18623426366975e-06,0
"18","Black Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"19","Bocaccio",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"20","Brittle Star",0,0,0.476907500457784,0,0.000309386974971697,0,9.02170469390867e-05,0,0,0,NA,0.00179651383275421,0,0.00379997328569059,8.14510784857283e-08,0
"21","Canary Rock",0,0,0,0,0,0,0.00272209062643523,0,0,0,NA,0,0,0,0,0
"22","Capelin",0.0713369558070365,0.300400397574531,0,0,0.020345870993888,0,0.0155901738935434,0,0.0206105764002155,0,NA,0,0,0.00682373873993076,0.0334336249907083,0.0838396688335979
"23","Chaeteg etc.",4.1388477885144e-05,0,0,0,3.73194416885658e-05,0,0,0,0.00420028153232081,0,NA,0,0,0,0.00078658877512269,0.0183412917830294
"24","Clam",4.42093229745539e-05,0,0.00888223297696328,0,0.00267846641575563,0,0.000564653380718497,0,0,0,NA,0.0100833263145758,0.0301601967919063,4.59484831389344e-05,0.000431144633112004,0
"25","Commander Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"26","Complete Misc",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"27","Copepod",0.000296680928565707,0,1.3162597895633e-05,0,3.72281916669652e-05,0,0,0,0.0880698080537703,0.00169538861301295,NA,0.000725948766180253,0,8.14483488958998e-05,0.0201861158469438,0.135396674978123
"28","Deepsea Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"29","Dogfish",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"30","Dover Sole",0,0,0,0,0,0,0.00571413610729446,0,0,0,NA,0,0,0,0,0
"31","Dungeness",0,0,0,0,5.52102588010715e-06,0,5.03725159193405e-06,0,0,0,NA,0,0,0,0,0
"32","Dusky Rock",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"33","Eelpout",0.00524208066160472,0,0,0,0.012716047610369,0,0.000599653124920148,0,0,0,NA,0,0,0,0.00818225844917709,0
"34","Empty",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"35","Eulachon",0.00860767737525284,0,0,0,0.00145601735692772,0,0.00127103185053055,0,0,0,NA,0,0,0.000587443874891764,0.0350472454327342,0
"36","Euphausiid",0.0355719616067243,0.146811508948062,0.0265275345749763,0.0903884706840765,0.0150397049437875,0.00575156217734865,0.00229437887485093,0,0.73194348502433,0.926413459499405,NA,0.00722040329142716,0,0.0350294583414005,0.347397736491039,0.317992834110898
"37","FH Sole",0.000866505431290992,0,0,0,0.00328571450409711,0,0.002180882657977,0,0,0,NA,0,0,0,0.000276530688194085,0
"38","Fish Eggs",0,0,0,0,0.000143813567986378,0,2.22936818245826e-05,0,0,0,NA,0,0,0,0,0
"39","Gen Rock Sole",0,0,0,0,0.00025048798121026,0,0,0,0,0,NA,0,0,0,0,0
"40","Gen Thorny",0,0,0,0,0,0,0.0196530050310182,0,0,0,NA,0,0,0,0,0
"41","Gen. Cephalopod",6.69673966671934e-05,0,0,0,0.000922865139034609,0,0.000672939343759997,0,4.04430525768361e-08,0,NA,7.14262730200603e-05,0,0.00961368319934191,8.59735304106685e-05,0.000316189871302216
"42","Gen. Clupeids",9.65716733413174e-05,0,0,0,6.22906218470269e-05,0,2.1394899715963e-05,0,0,0,NA,0,0,0,0,0
"43","Gen. Crab",1.32741086282165e-05,8.82955201027769e-05,0,0,0.00305447774441244,0,0.000571456986612652,0,0.00183187694084905,0,NA,0.0028219278669216,0,0.00783921004676288,0.00173515152271336,0.00224412782468954
"44","Gen. Crustacea",4.70608466341637e-05,6.8675574181728e-05,0,0.0464962309515867,0.000429414942779502,0.0356721463726909,0,0,0.000249965015069419,0,NA,0.00145421001714554,0,0.00271726313599371,0.00116324002783614,0.0243990000318187
"45","Gen. Echinoderm",0,0,0,0,7.54051759707031e-06,0,0,0,0,0,NA,0.00265125213545014,0,0,0,0
"46","Gen. Fish",0.0362609030998407,0.0783660298671432,0,0,0.0350394154513571,0.0284919059660754,0.0248963707078354,0.0350174179339062,0.0178728281451982,0,NA,0.00410656974684912,0,0.0324888885711275,0.023614518758137,0.0283414864029037
"47","Gen. Flatfish",0.00707498936913414,0.035567422362884,0,0,0.0166013971865447,0,0.025821082934793,0,0,0,NA,0,0,0,0.00100214569450384,0.00750331377810447
"48","Gen. Gadid",0.0159664704828899,0.0743559111302776,0,0,0.0134330378399699,0,0.0153553019261816,0,0,0,NA,0,0,0.00978376639246941,0.0179767034025664,0
"49","Gen. Hexagrammidae",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"50","Gen. Hydrozoa",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"51","Gen. Mollusc",2.03663956548171e-06,0.000336337220798506,0,0,0.00019805166664397,0,0.00039539938242329,0,0,0,NA,0.000844094613891192,0,2.60917472110635e-05,0.000210094475203505,0
"52","Gen. Particulate",0,0,0,0,3.61601366633628e-05,0,0,0.00046478258110964,6.3429862742218e-07,0,NA,0,0,0.00207640740466085,1.2303419916579e-07,0.00682276004931194
"53","Gen. Rockfish",0,0,0,0,0.00199008586075608,0,0.000592348084151811,0,8.72416405642674e-05,0,NA,0,0,0,0,0
"54","Gen. Rocks et al",0,0,0,0,4.05389371942457e-06,0,0.000141586709015497,0,0,0,NA,0,0,2.62893541425782e-07,0,0
"55","Gen. Salmoniformes",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"56","Gen. Sebastes",0.000440227464944748,0,0,0,0.00351096968942816,0,0.00904340797414209,0,0,0,NA,0,0,0,0.000666886920385377,0
"57","Gen. Shark Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"58","Gen. Smelt",0.0115265013980548,0.0262700245009407,0,0,0.000571050007563609,0,0.00111015912280238,0,9.60429369585645e-07,0,NA,0,0,0.00344569390576202,0.00513902370843106,0
"59","Giant Grenadier",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"60","Glopp",9.96736932949551e-05,0.000200200726665778,0.000367093070427542,0,0.00179871751373956,0,0.00912324369884449,0.00172607483532406,0.000384433637566781,0,NA,0.000462859860039791,0,0.0266557957534118,0.00364057860362649,0.00158912866675309
"61","Gr. Turbot",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1.93047924807898e-05,0
"62","Greenlings",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"63","Hake",0,0,0,0,0,0,0.000146892285887244,0,0,0,NA,0,0,0,0,0
"64","Hermit Crab",2.40023904664069e-06,0,0.0555295717857646,0,0.0252704656871179,0.417233946590655,0.0168485683114727,0.0907566813885194,0.000757213181096105,0,NA,0.00257294237374131,0,0.0844728805861743,0.00207877816751785,0.0311205404268086
"65","Herring",0.269097654721053,0,0,0,0.0197418377016379,0,0.181279558312312,0,0,0,NA,0,0,0.0350766619120657,0.00266220899402684,0
"66","Kamchat fl",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"67","King Crab",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,2.09153970973177e-07,0
"68","Leopard Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"69","Lg Sculpin",0.00098781595567034,0,0,0,0,0,0,0,0,0,NA,0,0,0,2.39645452884935e-06,0
"70","Lingcod",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"71","Longnose Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"72","Longsp Thorny",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"73","Macrouridae",0.00121261901176578,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"74","Managed Forage",0.0109749719661184,0.0718110874527327,0.00357903789903053,0,0.0375491845323775,0,0.00138316803316605,0,0.000158891806169256,0,NA,0.0282075765127482,0,0.0105422205467429,0.0013806834845396,0
"75","Misc. Crab",0.000518594526146977,0,0.000353708424516326,0,0.177041099188964,0.0295709778974728,0.0634833119903488,0.0647398762471753,4.51285253715441e-09,0,NA,0.0473041870238814,0,0.00727679203306578,0.00887593442294702,0.0035117602580963
"76","Misc. Crustacean",3.69457151012501e-06,0,0.00137905593762456,0,0.00163769285804007,0.00440653026016406,0.000102993924176363,0,0,0,NA,0.030308584482992,0.790314864604843,2.09502112941038e-05,0.00133036413091494,0.021059616247492
"77","Misc. Flatfish",0,0,0,0,0.00111557853169648,0,0.00112411628491839,0,0,0,NA,0,0,0,0,0
"78","Misc. Worm. Etc.",1.07482320251519e-06,0,0,0,0.0065898431997119,0,0.000137401356214079,0,0,0,NA,0.0370433657487411,0,0.0170569477483589,0.00094291658242983,0
"79","Mud Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"80","Myctophidae",0,0,0,0,0.000652789720472261,0,1.69015557177772e-05,0,0.00389422693468282,0,NA,0,0,0,0.0001745404041382,0
"81","Mysid",0.00107367271126318,0.0101947943870302,0.0148767007392652,0.434421618212232,0.00106211534634158,0.1089144973227,2.76486018410379e-05,0,0.00569732711755808,0.00429462278974927,NA,0.0191501380805631,0,0.00263193954371747,0.0162042799425221,0.0462046785897076
"82","N Rock Sole",0,0,0,0,0,0,1.36043195068094e-05,0,0,0,NA,0,0,0,0,0
"83","Northern Rock",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"84","NP Shrimp",0.00440886631533683,0.162033047936963,0.0817082327621612,0.228499710544959,0.134648471146731,0.140300277542172,0.0016948790612504,0.616626629703498,0.0298609345510544,0,NA,0.23108906924244,0,0.00601849900520243,0.131557220017157,0.144459738676255
"85","Octopus",0,0,0,0,0.0193151400210087,0,0.0203894131959412,0,0.000358902543658298,0,NA,0,0,0.00471486244869574,0.000182432553028718,0
"86","Offal",0.0104270140142932,0,0,0,0.0224171743484191,0,0.0351668510136514,0,0,0,NA,0,0,0.0393677192014831,0,0
"87","Okhotsk Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"88","Opilo",0,0,0,0,2.92229429810982e-05,0,1.74574604325176e-05,0,0,0,NA,0,0,0,0,0
"89","Oth pel. smelt",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"90","Oth pel. Smelt",0,0,0,0,8.30403802363042e-05,0,0.000493645644286889,0,0,0,NA,0,0,0,0,0
"91","P. Cod",0.00752861188304351,0,0,0,0.00228891271747706,0,0.00248360679734849,0,0,0,NA,0,0,0.00410061852161407,0.00192757605462377,0
"92","P. Halibut",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"93","Pacific Grenadier",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"94","Pandalidae",0.0155583829265496,0.0822210175074276,0.241181993031361,0,0.186625268147752,0,0.00195221968804662,0,0.00457830705962821,0,NA,0,0,0.450825312481682,0.265141999420882,0.0140309625504067
"95","Pel Amph",2.04081483125087e-05,0.000976617338909425,0.000594031186561084,0.0293452544339281,0.00190476592302185,0,0.000628013842253698,0,0.0362824564965686,0.0675965290978327,NA,0.0112271023481154,0,0.00867964119538866,0.0151903180248146,0.0116543942770129
"96","Pel. Gel. Filter Feeder",0,0,0.00109452468496782,0,0.000293962425396993,0,1.07482484044658e-06,0,0.0032883202570673,0,NA,0,0,5.22109291363952e-06,0.00942013383961768,0.011713413284211
"97","Polychaete",7.85541155697242e-05,0,0.0169540877765078,0.170848715173218,0.033452287888304,0.00880163706462846,0.00843958216340208,0,0.000799622086150092,0,NA,0.408429867331967,0.118128311295671,0.00283233917629635,0.00716133473624847,0.00282714186038496
"98","POP",0.0086403353978088,0,0,0,0.00652464857120379,0,0.00492811435295696,0,0,0,NA,0,0,0.00668695932837833,0.000180235320395337,0
"99","Prickle squish deep",0.00315773857003542,0,0,0,0,0,0,0,8.46223532490531e-07,0,NA,0,0,0,0,0
"100","Prickle squish round",0.0018920692520383,0,0,0,0.0226533685722581,0,0.00428059255173517,0,2.55099449336123e-07,0,NA,0,0,1.11698187257314e-06,0.00287905844360736,0
"101","Protozoan",0,0,0,0,0,0,0,0,0,0,NA,9.21473456889211e-07,0,0,5.17164775024743e-09,0
"102","Pteropod",1.67021785911366e-05,0,0,0,1.56010776681232e-05,0,0,0,0.00545679851158144,0,NA,0,0,0,0.00135209623997902,0.000488389521200514
"103","Ratfish",0,0,0,0,0.000294547593094507,0,0,0,0,0,NA,0,0,0,0,0
"104","Rex sole",0.0012001369976789,0,0,0,0.00194140555477357,0,0.000381597689716328,0,0,0,NA,0,0,0,0,0
"105","Rougheye Rock",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"106","S Rock Sole",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1.05994322780908e-05,0
"107","Sablefish",0,0,0,0,0,0,0.00131693071821786,0,0,0,NA,0,0,0,0,0
"108","Salmon",1.18181288765322e-05,0,0,0,0.0029770420056609,0,0.0138478736524924,0,0,0,NA,0,0,0,0,0
"109","Sandlance",0.00770748793380595,0,0,0,0.00681228615427205,0.0533205668793697,0.00549851289355778,0,1.61513955526706e-05,0,NA,0,0,0.0036784377461286,0.0024549148335773,0.00246226615105513
"110","Sculpin",0.00339933050831269,0,0.00546478009876804,0,0.0292228851315066,0.0177647288936001,0.0012093326856654,0,0,0,NA,0,0,0.000400067759812454,0.00170486652362024,0
"111","Scypho Jellies",0,0,0,0,5.97485560722146e-05,0,2.26004114672076e-05,0,0.00225655496452984,0,NA,0,0,0.013263914957575,6.12878363511153e-05,0
"112","Sea Pens",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"113","Sea Star",0,0,0,0,0.000121227857993367,0,3.02133772132209e-06,0,0,0,NA,0,0,0,0,0
"114","Sebastes",0,0,0,0,0.00181704723052602,0,0.00125761707430505,0,0,0,NA,0,0,0,0,0
"115","Sharpchin Rock",0,0,0,0,0,0,0.0299396321950705,0,0,0,NA,0,0,0,0,0
"116","Shortraker Rock",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"117","Shortsp Thorny",0.000377182234904329,0,0,0,0,0,0.020119748567793,0,0,0,NA,0,0,0.00290386577650537,0.000234695287695362,0
"118","Sleeper Shark",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"119","Snail",0,0,0,0,0.00289576895350924,0,0.000741894778181193,0,0,0,NA,0.000161930487917191,0,0.00046487479017187,0.0001488229456008,1.23027519388575e-05
"120","Sponge",6.90250969143728e-06,0,0,0,0.00182731808900499,0,9.06836374402392e-06,0,0,0,NA,0,0,3.80798704605382e-05,0,0
"121","Squid",0.00436119896915092,0,0,0,0.00329958983640571,0,0.0689975937512249,0,0.00266751058967487,0,NA,0,0,0.038883560009093,0.00133350047061509,0
"122","Unid Bathyraja",0,0,0,0,0,0,0.000164348849772863,0,0,0,NA,0,0,0,0,0
"123","Unid Chion",1.24601760110844e-05,0,0,0,0.00208014039734301,0,0.00487650883046315,0,0,0,NA,0,0,0,2.81965669196345e-05,0
"124","Unid Rajidae",0,0,0,0,0.000156930563101604,0,0.00394781737664463,0,0,0,NA,0,0,0.000283224803734478,0,0
"125","Urchins dollars cucumbers",0,0,0.000189043978719232,0,0.000659795255057279,0,0.000560441702719496,0,0,0,NA,0.0103508764598102,0,0.000384104124171818,0,0
"126","W. Pollock",0.424157145063251,0.00787296025227748,0,0,0.0357647297666353,0,0.271956265731276,0,0.0293298100443393,0,NA,0,0,0.0918407738972827,0.00716125047774454,0.0239118436451302
"127","Whitebrow Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"128","WhtBlotch Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"129","Widow Rock",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"130","Yellowtail Rock",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"131","YF Sole",0,0,0,0,0,0,0.000643322159093367,0,0,0,NA,0,0,0,0,0
