NODC_CODE,RACE,BASE_NAME,PREDATOR,Model,a_l_mm_g,b_l_mm_g,juv_cm,adu_1,adu_2,adu_3,vb_linf_mm,vb_k,vb_t0,CA,CB,C_TM,C_T0,C_Q
8710010201,310,spiny dogfish,race_310,EGOA,1.23278E-06,3.186963473,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8710010101,320,Pacific sleeper shark,race_320,EGOA,54000,NA,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8713040103,420,big skate,race_420,EGOA,1.68398E-05,2.883370791,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8713040105,435,Bering skate,race_435,EGOA,0.018280472,1.785316473,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8713040108,440,longnose skate,race_440,EGOA,1.70622E-05,2.854577856,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8713040810,460,roughtail skate,race_460,EGOA,1.5305E-05,2.846993236,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8713040107,471,Alaska skate,race_471,EGOA,1.38439E-05,2.83787734,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8713040102,472,Aleutian skate,race_472,EGOA,0.386587384,1.4219643,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8713040899,480,whiteblotched skate,race_480,EGOA,11080,NA,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8716020101,710,spotted ratfish,race_710,EGOA,2.22463E-07,3.477077661,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857030101,10010,Pacific sanddab,race_10010,EGOA,3.93522E-06,3.160659121,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040102,10110,arrowtooth flounder,race_10110,EGOA,3.203E-06,3.165720821,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857041901,10120,Pacific halibut,race_10120,EGOA,4304,NA,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040601,10130,flathead sole,race_10130,EGOA,1.61127E-06,3.299140913,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857041101,10150,slender sole,race_10150,EGOA,9.11709E-06,2.928505042,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040401,10160,petrale sole,race_10160,EGOA,1.37033E-06,3.349489911,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857041301,10170,English sole,race_10170,EGOA,2.77964E-06,3.207693847,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857041201,10180,Dover sole,race_10180,EGOA,2.39531E-06,3.22937904,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040301,10190,deepsea sole,race_10190,EGOA,3.44794E-07,3.621144309,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040501,10200,rex sole,race_10200,EGOA,8.18119E-07,3.349785089,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857041401,10220,starry flounder,race_10220,EGOA,2.28269E-06,3.292531995,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857041701,10250,sand sole,race_10250,EGOA,6.14103E-06,3.086227811,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040803,10261,northern rock sole,race_10261,EGOA,2.31621E-15,6.893538601,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040801,10262,southern rock sole,race_10262,EGOA,3.26774E-06,3.217991243,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040701,10270,butter sole,race_10270,EGOA,4.23162E-05,2.770397896,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8831081201,20006,sawback poacher,race_20006,EGOA,7.58326E-09,4.078069181,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8827020101,20510,sablefish,race_20510,EGOA,4.90419E-06,3.099548865,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8840030103,20720,searcher,race_20720,EGOA,0.000170135,2.444592091,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8747010201,21110,Pacific herring,race_21110,EGOA,9.09011E-06,3.038230713,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8794010108,21230,giant grenadier,race_21230,EGOA,0.000431136,2.782512791,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8794010105,21232,popeye grenadier,race_21232,EGOA,0.002888983,2.363393381,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8831021902,21341,darkfin sculpin,race_21341,EGOA,2.2306E-05,2.941608751,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8831020901,21390,spinyhead sculpin,race_21390,EGOA,3.00883E-05,2.897487098,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8840010201,21592,Pacific sandfish,race_21592,EGOA,108,NA,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8791030601,21710,Pacific tomcod,race_21710,EGOA,3.56806E-06,3.156484936,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8791030401,21720,Pacific cod,race_21720,EGOA,6.47327E-06,3.07350055,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8791010102,21731,Pacific flatnose,race_21731,EGOA,8.513E-07,3.320430982,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8791030701,21740,walleye pollock,race_21740,EGOA,6.05405E-06,3.036241818,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8827010201,21910,lingcod,race_21910,EGOA,3.1537E-06,3.164033702,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8827010501,21921,Atka mackerel,race_21921,EGOA,3.22829E-06,3.220972805,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8791040102,22500,Pacific hake,race_22500,EGOA,2.73369E-06,3.136464055,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8755030501,23010,eulachon,race_23010,EGOA,7.09885E-07,3.444013842,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8755030201,23041,Pacific capelin,race_23041,EGOA,2.26152E-05,2.740359038,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8755030402,23061,longfin smelt,race_23061,EGOA,3.25327E-06,3.219915402,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8755010206,23220,chinook salmon,race_23220,EGOA,5.1241E-06,3.160832437,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8755010203,23225,coho salmon,race_23225,EGOA,8.45662E-06,3.062281133,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8755010201,23230,pink salmon,race_23230,EGOA,5.41362E-08,3.86324209,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8755010202,23235,chum salmon,race_23235,EGOA,1.04065E-06,3.39310537,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8842150101,24001,prowfish,race_24001,EGOA,1.26059E-05,2.988448362,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8793010710,24185,wattled eelpout,race_24185,EGOA,1.18359E-05,2.819290357,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8793010706,24190,black eelpout,race_24190,EGOA,48,NA,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8793010703,24191,shortfin eelpout,race_24191,EGOA,2.04353E-05,2.724723204,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8793010801,24200,blackbelly eelpout,race_24200,EGOA,7.07581E-06,2.909387953,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010201,30020,shortspine thornyhead,race_30020,EGOA,3.80502E-06,3.196103731,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010202,30030,longspine thornyhead,race_30030,EGOA,2.2632E-06,3.301901246,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010101,30051,rougheye rockfish,race_30051,EGOA,9.60415E-06,3.082274258,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010197,30052,blackspotted rockfish,race_30052,EGOA,8.83237E-06,3.092425345,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010102,30060,Pacific ocean perch,race_30060,EGOA,9.48583E-06,3.058828798,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010106,30100,silvergray rockfish,race_30100,EGOA,1.44291E-05,2.983035807,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010110,30170,darkblotched rockfish,race_30170,EGOA,1.3466E-05,3.048588934,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010112,30200,greenstriped rockfish,race_30200,EGOA,9.98856E-06,3.035665027,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010115,30240,yellowtail rockfish,race_30240,EGOA,0.001439072,2.258752647,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010118,30270,rosethorn rockfish,race_30270,EGOA,5.41574E-06,3.169936855,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010120,30320,quillback rockfish,race_30320,EGOA,6.83005E-06,3.181496718,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010121,30330,black rockfish,race_30330,EGOA,2.21196E-05,2.964106878,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010127,30400,bocaccio,race_30400,EGOA,4170,NA,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010128,30410,canary rockfish,race_30410,EGOA,1.83504E-05,2.986844788,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010129,30420,northern rockfish,race_30420,EGOA,0.000204098,2.541910581,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010130,30430,redstripe rockfish,race_30430,EGOA,6.38608E-06,3.118717633,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010134,30470,yelloweye rockfish,race_30470,EGOA,2.48645E-06,3.312976291,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010105,30475,redbanded rockfish,race_30475,EGOA,7.35862E-06,3.14406379,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010136,30535,harlequin rockfish,race_30535,EGOA,7.22038E-06,3.104931693,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010137,30550,pygmy rockfish,race_30550,EGOA,2.17865E-05,2.878425464,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010138,30560,sharpchin rockfish,race_30560,EGOA,5.98095E-06,3.151325396,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8826010107,30576,shortraker rockfish,race_30576,EGOA,1.16488E-05,3.057440225,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
