RACE,SCIENTIFIC,COMMON,ECOPATH_Num,ECOPATH_Name
10285,Pleuronectes quadrituberculatus,Alaska plaice,45,AK Plaice
43006,(blank),purple striated sea anemone,96,Anemones
43007,(blank),red striated sea anemone,96,Anemones
43001,Actinauge verrilli,reticulate anemone,96,Anemones
43005,Actinernus sp.,(blank),96,Anemones
43000,Actiniaria,sea anemone unid.,96,Anemones
43080,Actiniidae,actinid sea anemones unid.,96,Anemones
43003,Actinoscyphia sp.,(blank),96,Anemones
43002,Actinostola faeculenta,rough purple sea anemone,96,Anemones
43110,Actinostola sp.,(blank),96,Anemones
43111,Actinostola sp. A (Clark 2006),(blank),96,Anemones
43112,Actinostola sp. B (Clark 2006),(blank),96,Anemones
43100,Actinostolidae,(blank),96,Anemones
43009,Corallimorphus sp.,(blank),96,Anemones
43082,Cribrinopsis fernaldi,chevron-tentacled anemone,96,Anemones
43200,Hormathiidae,(blank),96,Anemones
43090,Liponema brevicorne,tentacle-shedding anemone,96,Anemones
43021,Metridium farcimen,gigantic anemone,96,Anemones
43020,Metridium senile,clonal plumose anemone,96,Anemones
43010,Metridium sp.,(blank),96,Anemones
43050,Oceanactis diomedeae,grape anemone,96,Anemones
43051,Oceanactis sp.,(blank),96,Anemones
43032,Stomphia coccinea,swimming anemone,96,Anemones
43029,Stomphia didemon,cowardly anemone,96,Anemones
43030,Stomphia sp.,(blank),96,Anemones
43044,Urticina columbiana,crusty red anemone,96,Anemones
43042,Urticina crassicornis,mottled anemone,96,Anemones
43043,Urticina lofotensis,spotted red anemone,96,Anemones
43040,Urticina sp.,(blank),96,Anemones
10110,Atheresthes stomias,arrowtooth flounder,37,Arrowtooth
21921,Pleurogrammus monopterygius,Atka mackerel,68,Atka mackerel
68560,Chionoecetes bairdi,Tanner crab,84,Bairdi
20614,Bathylagidae,deepsea smelt unid.,77,Bathylagidae
20620,Bathylagus milleri,robust blacksmelt,77,Bathylagidae
20624,Bathylagus ochotensis,popeye blacksmelt,77,Bathylagidae
20615,Bathylagus pacificus,Pacific blacksmelt,77,Bathylagidae
20619,Bathylagus sp.,blacksmelt unid.,77,Bathylagidae
20622,Leuroglossus schmidti,northern smoothtongue,77,Bathylagidae
20660,Leuroglossus sp.,(blank),77,Bathylagidae
20662,Leuroglossus stilbius,California smoothtongue,77,Bathylagidae
60100,Amphipoda,amphipod unid.,95,Benthic Amphipods
60145,Caprella sp.,caprellid amphipod unid.,95,Benthic Amphipods
420,Raja binoculata,big skate,51,Big skate
421,Raja binoculata egg case,(blank),51,Big skate
74981,(blank),cockle unid.,102,Bivalves
74001,Acharax johnsoni,(blank),102,Bivalves
75610,Anomiidae,falsejingles unid.,102,Bivalves
74646,Astarte arctica,(blank),102,Bivalves
74641,Astarte borealis,boreal astarte,102,Bivalves
74645,Astarte compacta,(blank),102,Bivalves
74639,Astarte crenata,crenulate astarte,102,Bivalves
74643,Astarte elliptica,elliptical astarte,102,Bivalves
74647,Astarte montagui,(blank),102,Bivalves
74640,Astarte sp.,(blank),102,Bivalves
75382,Bankia setacea,feathery shipworm,102,Bivalves
74000,Bivalvia,bivalve unid.,102,Bivalves
74103,Chlamys albida,white scallop,102,Bivalves
74105,Chlamys behringiana,Iceland scallop,102,Bivalves
74107,Chlamys hastata,spiny scallop,102,Bivalves
74106,Chlamys rubida,reddish scallop,102,Bivalves
74104,Chlamys sp.,(blank),102,Bivalves
74986,Clinocardium blandum,low-rib cockle,102,Bivalves
74985,Clinocardium californiense,California cockle,102,Bivalves
74983,Clinocardium ciliatum,hairy cockle,102,Bivalves
74982,Clinocardium nuttallii,Nuttall cockle,102,Bivalves
74980,Clinocardium sp.,(blank),102,Bivalves
77102,Compressidens stearnsii,Stearns toothshell,102,Bivalves
74655,Cyclocardia crebricostata,many-rib cyclocardia,102,Bivalves
74652,Cyclocardia ovata,(blank),102,Bivalves
74656,Cyclocardia sp.,(blank),102,Bivalves
74658,Cyclocardia sp. cf. borealis (Clark 2006),northern carditid,102,Bivalves
74653,Cyclocardia ventricosa,stout cyclocardia,102,Bivalves
74177,Cyclopecten davidsoni,salmon glass-scallop,102,Bivalves
74171,Delectopecten vancouverensis,Vancouver scallop,102,Bivalves
74482,Empleconia vaginata,vaginated limops,102,Bivalves
74485,Glycymeris septentrionalis,(blank),102,Bivalves
75570,Halicardia perplicata,(blank),102,Bivalves
74311,Hiatella arctica,Arctic hiatella,102,Bivalves
74310,Hiatella sp.,(blank),102,Bivalves
75606,Hinnites sp.,rock scallops unid.,102,Bivalves
75025,Humilaria kennerleyi,Kennerleys venus,102,Bivalves
74572,Limatula sp. A (Clark and McLean),(blank),102,Bivalves
74481,Limopsis akutanica,Akutan limops,102,Bivalves
75420,Lucinoma annulatum,ringed lucine,102,Bivalves
75247,Macoma brota,heavy macoma,102,Bivalves
75242,Macoma calcarea,chalky macoma,102,Bivalves
75240,Macoma sp.,(blank),102,Bivalves
75111,Mactromeris polynyma,Arctic surfclam,102,Bivalves
75110,Mactromeris sp.,(blank),102,Bivalves
74060,Modiolus modiolus,northern horsemussel,102,Bivalves
74562,Musculus discors,discordant mussel,102,Bivalves
74561,Musculus niger,black mussel,102,Bivalves
74560,Musculus sp.,(blank),102,Bivalves
75335,Mya pseudoarenaria,false softshell,102,Bivalves
75330,Mya sp.,(blank),102,Bivalves
75333,Mya truncata,truncate softshell,102,Bivalves
74050,Mytilidae,mussel unid.,102,Bivalves
74070,Mytilus californianus,California mussel,102,Bivalves
74080,Mytilus edulis,blue mussel,102,Bivalves
74065,Mytilus sp.,(blank),102,Bivalves
74332,Nucula sp.,(blank),102,Bivalves
74438,Nuculana conceptionis,(blank),102,Bivalves
74439,Nuculana fossa,trenched nutclam,102,Bivalves
74436,Nuculana pernula,northern nutclam,102,Bivalves
74435,Nuculana sp.,(blank),102,Bivalves
74320,Panomya arctica,(blank),102,Bivalves
74321,Panomya sp.,(blank),102,Bivalves
74301,Panopea abrupta,Pacific geoduck,102,Bivalves
74175,Parvamussium alaskense,Alaska glass-scallop,102,Bivalves
74120,Patinopecten caurinus,weathervane scallop,102,Bivalves
74100,Pectinidae,scallop unid.,102,Bivalves
75601,Pododesmus cepio,abalone jingle,102,Bivalves
75600,Pododesmus macrochisma,Alaska falsejingle,102,Bivalves
75605,Pododesmus sp.,(blank),102,Bivalves
75030,Protothaca staminea,Pacific littleneck,102,Bivalves
75021,Saxidomus gigantea,butter clam,102,Bivalves
75285,Serripes groenlandicus,Greenland cockle,102,Bivalves
75286,Serripes laperousii,broad cockle,102,Bivalves
75287,Serripes notabilis,oblique smoothcockle,102,Bivalves
75284,Serripes sp.,(blank),102,Bivalves
75267,Siliqua alta,Alaska razor,102,Bivalves
75266,Siliqua patula,Pacific razor,102,Bivalves
75264,Siliqua sp.,(blank),102,Bivalves
75205,Tellina lutea,Alaska great-tellin,102,Bivalves
75204,Tellina modesta,(blank),102,Bivalves
75201,Tellina sp.,(blank),102,Bivalves
75381,Teredinidae,shipworm unid.,102,Bivalves
75103,Tresus capax,fat gaper,102,Bivalves
74420,Yoldia hyperborea,northern yoldia,102,Bivalves
74416,Yoldia seminuda,crisscrossed yoldia,102,Bivalves
74414,Yoldia sp.,(blank),102,Bivalves
74419,Yoldia thraciaeformis,broad yoldia,102,Bivalves
83701,Amphiodia sp.,(blank),90,Brittle stars
83337,Amphiophiura sp. A (Clark 2006),(blank),90,Brittle stars
83338,Amphiophiura superba,(blank),90,Brittle stars
83055,Asteronychidae,(blank),90,Brittle stars
83075,Asteronyx longifissa,(blank),90,Brittle stars
83070,Asteronyx loveni,serpent sea star,90,Brittle stars
83060,Asteronyx sp.,(blank),90,Brittle stars
83080,Astrochele laevis,(blank),90,Brittle stars
83090,Astrochele sp.,(blank),90,Brittle stars
83081,Astrochele sp. A (Clark 2006),(blank),90,Brittle stars
81930,Astronebris tatafilius,(blank),90,Brittle stars
83020,Gorgonocephalus eucnemis,basketstar,90,Brittle stars
83022,Gorgonocephalus sp.,(blank),90,Brittle stars
83021,Gorgonocephalus sp. cf. arcticus,(blank),90,Brittle stars
83345,Ophiacantha cataleimmoida,(blank),90,Brittle stars
83344,Ophiacantha diplasia,(blank),90,Brittle stars
83341,Ophiacantha normani,(blank),90,Brittle stars
83342,Ophiacantha sp.,(blank),90,Brittle stars
83347,Ophiacantha sp. A,(blank),90,Brittle stars
83411,Ophiolebes sp.,(blank),90,Brittle stars
83421,Ophiolebes sp. F (Clark 2006),(blank),90,Brittle stars
83400,Ophiopholis aculeata,ubiquitous brittle star,90,Brittle stars
83391,Ophiopholis japonica,(blank),90,Brittle stars
83390,Ophiopholis longispina,(blank),90,Brittle stars
83360,Ophiopholis sp.,(blank),90,Brittle stars
83403,Ophioscolex corynetes,(blank),90,Brittle stars
83402,Ophioscolex sp.,(blank),90,Brittle stars
83408,Ophiosphalma sp. cf. jolliensis,(blank),90,Brittle stars
83312,Ophiura quadrispina,four spined brittle star,90,Brittle stars
83320,Ophiura sarsi,notched brittlestar,90,Brittle stars
83310,Ophiura sp.,(blank),90,Brittle stars
83010,Ophiuridae,(blank),90,Brittle stars
83000,Ophiuroidea,brittlestar unid.,90,Brittle stars
83336,Stegophiura nodosa,(blank),90,Brittle stars
83340,Stegophiura ponderosa,(blank),90,Brittle stars
23041,Mallotus villosus,capelin,79,Capelin
41591,Alaskagorgia aleutiana,(blank),97,Corals
41100,Alcyonacea,soft coral unid.,97,Corals
41102,Alcyonium sp.,(blank),97,Corals
41104,Alcyonium sp. A (Clark 2006),pink orange mushroom coral,97,Corals
44094,Amphilaphis sp.,(blank),97,Corals
41300,Anthomastus sp.,(blank),97,Corals
41331,Anthomastus sp. A,red anthomastus,97,Corals
41332,Anthomastus sp. B,gray anthomastus,97,Corals
44105,Anthothela grandiflora,(blank),97,Corals
41525,Antipatharia,black coral,97,Corals
44114,Arthrogorgia otsukai,(blank),97,Corals
44098,Arthrogorgia sp.,(blank),97,Corals
41541,Bathypathes patula,(blank),97,Corals
41540,Bathypathes sp.,(blank),97,Corals
41573,Calcigorgia beringi,Bering red sea fan,97,Corals
41700,Calcigorgia sp.,(blank),97,Corals
41701,Calcigorgia spiculifera,(blank),97,Corals
41600,Callogorgia sp.,(blank),97,Corals
44023,Caryophyllia alaskensis,Alaska cup coral,97,Corals
44022,Caryophyllia arnoldi,brown cup coral,97,Corals
44020,Caryophyllia sp.,(blank),97,Corals
44004,Caryophylliidae,cup corals,97,Corals
41530,Chrysopathes speciosa,(blank),97,Corals
41752,Clavularia incrustans,encrusting coral,97,Corals
44019,Crispatotrochus foxi,cup coral,97,Corals
44038,Crypthelia sp.,(blank),97,Corals
44036,Crypthelia trophostega,(blank),97,Corals
44040,Cyclohelia lamellata,(blank),97,Corals
44041,Cyclohelia sp.,(blank),97,Corals
44061,Distichopora borealis,(blank),97,Corals
44081,Errinopora sp.,(blank),97,Corals
44077,Errinopora sp. B (Clark 2006),pale-edged hydrocoral,97,Corals
44080,Errinopora zarhyncha,(blank),97,Corals
41586,Euplexaura marki,(blank),97,Corals
41585,Euplexaura sp.,(blank),97,Corals
44090,Fanellia compressa,(blank),97,Corals
44091,Fanellia fraseri,(blank),97,Corals
44089,Fanellia sp.,(blank),97,Corals
41221,Gersemia rubiformis,(blank),97,Corals
41201,Gersemia sp.,sea raspberry,97,Corals
41500,Gorgonacea,gorgonian coral unid.,97,Corals
44085,Isidella sp.,articulated bamboo coral,97,Corals
44084,Isididae,bamboo coral unid.,97,Corals
44088,Keratoisis sp.,nodal bamboo coral unid.,97,Corals
41551,Lillipathes lilliei,(blank),97,Corals
41552,Lillipathes sp. A (Clark 2006),(blank),97,Corals
44092,Muriceides nigra,(blank),97,Corals
44093,Muriceides sp.,(blank),97,Corals
41582,Paragorgia arborea,Kamchatka coral,97,Corals
41587,Paragorgia nodosa,(blank),97,Corals
41583,Paragorgia pacifica,(blank),97,Corals
41580,Paragorgia sp.,(blank),97,Corals
41550,Parantipathes sp.,(blank),97,Corals
41605,Parastenella sp. A (Clark 2006),sugar coral,97,Corals
44097,Plumarella nuttingi,Loose-branched Plumarella,97,Corals
44083,Plumarella sp.,(blank),97,Corals
44086,Plumarella sp. 1 (Bayer),(blank),97,Corals
44095,Plumarella sp. A,(blank),97,Corals
44096,Plumarella sp. B,(blank),97,Corals
44075,Plumarella superba,(blank),97,Corals
41521,Primnoa pacifica,(blank),97,Corals
41520,Primnoa sp.,(blank),97,Corals
41522,Primnoa willeyi,red tree coral,97,Corals
44107,Primnoa wingi,(blank),97,Corals
41572,Psammogorgia simplex,(blank),97,Corals
44000,Scleractinia,stony coral unid.,97,Corals
44045,Stylaster alaskanus,(blank),97,Corals
44032,Stylaster brochi,(blank),97,Corals
44037,Stylaster campylecus,(blank),97,Corals
44039,Stylaster moseleyana,(blank),97,Corals
44048,Stylaster repandus,(blank),97,Corals
44030,Stylaster sp.,(blank),97,Corals
44028,Stylasteridae,stylasterid corals,97,Corals
44029,Stylasterina,hydrocoral unid.,97,Corals
41571,Swiftia pacifica,(blank),97,Corals
41570,Swiftia sp.,(blank),97,Corals
44106,Thouarella cristata,bottlebrush coral,97,Corals
44087,Thouarella sp.,(blank),97,Corals
43045,Zoanthidae sp. A,hot dog zoanthid,97,Corals
43225,Zoanthus sp.,(blank),97,Corals
310,Squalus acanthias,spiny dogfish,29,Dogfish
10180,Microstomus pacificus,Dover sole,46,Dover Sole
30150,(blank),dusky and dark rockfishes unid.,61,Dusky Rock
30151,Sebastes ciliatus,dark rockfish,61,Dusky Rock
30152,Sebastes variabilis,dusky rockfish,61,Dusky Rock
24110,Bothrocara brunneum,twoline eelpout,54,Eelpouts
24120,Bothrocara molle,soft eelpout,54,Eelpouts
24111,Bothrocara pusillum,Alaska eelpout,54,Eelpouts
24220,Bothrocara sp.,(blank),54,Eelpouts
24112,Bothrocara zestum,western eelpout,54,Eelpouts
24152,Lycenchelys camchatica,Kamchatka eelpout,54,Eelpouts
24130,Lycenchelys crotalinus,snakehead eelpout,54,Eelpouts
24150,Lycenchelys sp.,(blank),54,Eelpouts
24160,Lycodapus fierasfer,blackmouth eelpout,54,Eelpouts
24170,Lycodapus mandibularis,pallid eelpout,54,Eelpouts
24232,Lycodapus parviceps,smallhead eelpout,54,Eelpouts
24230,Lycodapus sp.,(blank),54,Eelpouts
24195,Lycodes beringi,Bering eelpout,54,Eelpouts
24191,Lycodes brevipes,shortfin eelpout,54,Eelpouts
24187,Lycodes concolor,ebony eelpout,54,Eelpouts
24140,Lycodes cortezianus,bigfin eelpout,54,Eelpouts
24200,Lycodes pacificus,blackbelly eelpout,54,Eelpouts
24185,Lycodes palearis,wattled eelpout,54,Eelpouts
24188,Lycodes polaris,Canadian eelpout,54,Eelpouts
24180,Lycodes sp.,(blank),54,Eelpouts
24100,Zoarcidae,eelpout unid.,54,Eelpouts
23010,Thaleichthys pacificus,eulachon,81,Eulachon
63500,Euphausiacea,euphausiid unid.,108,Euphausiids
10130,Hippoglossoides elassodon,flathead sole,42,FH. Sole
1,(blank),fish eggs unid.,106,Fish Larvae
2,(blank),fish larvae unid.,106,Fish Larvae
21422,Hemitripterus bolini eggs,bigmouth sculpin eggs,106,Fish Larvae
10002,Pleuronectiform larvae,flatfish larvae,106,Fish Larvae
45005,Beroe sp.,(blank),111,Gelatinous filter feeders
40507,Bolinopsis sp.,(blank),111,Gelatinous filter feeders
45000,Ctenophora,comb jelly unid.,111,Gelatinous filter feeders
98070,Thaliacea,salp unid.,111,Gelatinous filter feeders
98072,Thetys vagina,common salp,111,Gelatinous filter feeders
78005,Cephalopoda egg,squid or octopus unid. eggs,0,Gen Cephalopod
210,Apristurus brunneus,brown cat shark,0,Gen Chondrychthyes
222,Hexanchus griseus,sixgill shark,0,Gen Chondrychthyes
710,Hydrolagus colliei,spotted ratfish,0,Gen Chondrychthyes
711,Hydrolagus colliei egg case,(blank),0,Gen Chondrychthyes
40001,Cnidaria,coelenterate unid.,0,Gen Cnidarian
68000,(blank),crab unid.,0,Gen crab
69000,Anomura,(blank),0,Gen crab
68541,Chionoecetes sp.,Tanner crab unid.,0,Gen crab
3,(blank),fish unid.,0,Gen Fish
21731,Antimora microlepis,Pacific flatnose,0,Gen fish
20842,Brama japonica,Pacific pomfret,0,Gen fish
21705,Gadidae,cod unid.,0,Gen fish
22500,Merluccius productus,Pacific hake,0,Gen fish
21910,Ophiodon elongatus,lingcod,0,Gen fish
23000,Osmeridae,smelt unid.,0,Gen fish
23500,Scombridae,mackerel unid.,0,Gen fish
10112,Atheresthes evermanni,Kamchatka flounder,0,Gen flatfish
10115,Reinhardtius hippoglossoides,Greenland turbot,0,Gen flatfish
99990,(blank),invertebrate unid.,0,Gen Invert
99992,(blank),invertebrate eggs unid.,0,Gen Invert
70000,Mollusca,mollusk unid.,0,Gen Mollusc
70062,Neomenia cf. yamamoti (Clark 2006),(blank),0,Gen Mollusc
70061,Neomenia efgamatoi,(blank),0,Gen Mollusc
70060,Neomenia sp.,(blank),0,Gen Mollusc
70050,Neomeniomorpha,solenogaster unidentified,0,Gen Mollusc
66000,(blank),shrimp unid.,0,Gen Shrimp
41099,Octocorallia,(blank),0,Gen. Anthozoa
40034,Abietinaria sp.,(blank),0,Gen. Hydrozoa
40012,Bonneviella sp. A (Clark 2006),champagne flute hydroid,0,Gen. Hydrozoa
40011,Hydroidolina,hydroid unid.,0,Gen. Hydrozoa
40010,Hydrozoa,(blank),0,Gen. Hydrozoa
21900,Hexagrammidae,greenling unid.,69,Greenlings
21935,Hexagrammos decagrammus,kelp greenling,69,Greenlings
21934,Hexagrammos lagocephalus,rock greenling,69,Greenlings
21931,Hexagrammos octogrammus,masked greenling,69,Greenlings
21930,Hexagrammos sp.,(blank),69,Greenlings
21932,Hexagrammos stelleri,whitespotted greenling,69,Greenlings
21937,Zaniolepis frenata,shortspine combfish,69,Greenlings
21230,Albatrossia pectoralis,giant grenadier,55,Grenadiers
21220,Coryphaenoides acrolepis,Pacific grenadier,55,Grenadiers
21232,Coryphaenoides cinereus,popeye grenadier,55,Grenadiers
21238,Coryphaenoides filifer,filamented grenadier,55,Grenadiers
21210,Coryphaenoides sp.,(blank),55,Grenadiers
21200,Macrouridae,grenadier unid.,55,Grenadiers
69011,Discorsopagurus schmitti,(blank),93,Hermit crabs
69121,Elassochirus cavimanus,purple hermit,93,Hermit crabs
69122,Elassochirus gilli,Pacific red hermit,93,Hermit crabs
69123,Elassochirus sp.,(blank),93,Hermit crabs
69110,Elassochirus tenuimanus,widehand hermit crab,93,Hermit crabs
69061,Labidochirus splendescens,splendid hermit,93,Hermit crabs
69010,Paguridae,hermit crab unid.,93,Hermit crabs
69060,Pagurus aleuticus,Aleutian hermit,93,Hermit crabs
69041,Pagurus armatus,blackeyed hermit,93,Hermit crabs
69087,Pagurus beringanus,Bering hermit,93,Hermit crabs
69042,Pagurus brandti,sponge hermit,93,Hermit crabs
69120,Pagurus capillatus,hairy hermit crab,93,Hermit crabs
69071,Pagurus caurinus,greenmark hermit,93,Hermit crabs
69070,Pagurus confragosus,knobbyhand hermit,93,Hermit crabs
69080,Pagurus cornutus,hornyhand hermit,93,Hermit crabs
69082,Pagurus dalli,whiteknee hermit,93,Hermit crabs
69085,Pagurus kennerlyi,bluespine hermit,93,Hermit crabs
69090,Pagurus ochotensis,Alaskan hermit,93,Hermit crabs
69095,Pagurus rathbuni,longfinger hermit,93,Hermit crabs
69097,Pagurus setosus,setose hermit,93,Hermit crabs
69035,Pagurus sp.,(blank),93,Hermit crabs
69096,Pagurus stevensae,Stevens hermit crab,93,Hermit crabs
69100,Pagurus tanneri,longhand hermit,93,Hermit crabs
69050,Pagurus townsendi,Townsend hermit crab,93,Hermit crabs
69086,Pagurus trigonocheirus,fuzzy hermit crab,93,Hermit crabs
21110,Clupea pallasi,Pacific herring,35,Herring
40035,Abietinaria greenei,bushy white hydroid,98,Hydroids
40036,Abietinaria sp. A (Clark 2006),white tangled hydroid,98,Hydroids
40028,Aglaophenia sp.,(blank),98,Hydroids
40013,Bonneviella sp.,(blank),98,Hydroids
40009,Plumulariidae,plumulariid hydroids,98,Hydroids
40049,Sertulariidae,Sertulariid hydroid,98,Hydroids
95011,(blank),fluffy sponge,0,Invert unid
69310,Lithodes aequispinus,golden king crab,85,King Crab
69300,Lithodes couesi,scarlet king crab,85,King Crab
69290,Lithodes sp.,(blank),85,King Crab
69320,Paralithodes brevipes,Hanasaki king crab,85,King Crab
69325,Paralithodes californiensis,California king crab,85,King Crab
69322,Paralithodes camtschaticus,red king crab,85,King Crab
69323,Paralithodes platypus,blue king crab,85,King Crab
69330,Paralomis sp.,(blank),85,King Crab
69332,Paralomis sp. A (Clark 2006),spiny spider crab,85,King Crab
69333,Paralomis sp. B (Clark 2006),(blank),85,King Crab
21346,Hemilepidotus hemilepidotus,red Irish lord,70,Lg. Sculpins
21347,Hemilepidotus jordani,yellow Irish lord,70,Lg. Sculpins
21348,Hemilepidotus papilio,butterfly sculpin,70,Lg. Sculpins
21342,Hemilepidotus sp.,Irish lord,70,Lg. Sculpins
21344,Hemilepidotus spinosus,brown Irish lord,70,Lg. Sculpins
21345,Hemilepidotus zapus,longfin Irish lord,70,Lg. Sculpins
21420,Hemitripterus bolini,bigmouth sculpin,70,Lg. Sculpins
21371,Myoxocephalus jaok,plain sculpin,70,Lg. Sculpins
21370,Myoxocephalus polyacanthocephalus,great sculpin,70,Lg. Sculpins
21375,Myoxocephalus sp.,(blank),70,Lg. Sculpins
21368,Myoxocephalus verrucosus,warty sculpin,70,Lg. Sculpins
440,Raja rhina,longnose skate,50,Longnosed skate
441,Raja rhina egg case,longnose skate egg case,50,Longnosed skate
69285,Acantholithodes hispidus,fuzzy crab,86,Misc. crabs
69284,Acantholithodes sp.,(blank),86,Misc. crabs
68011,Cancer branneri,furrowed rock crab,86,Misc. crabs
68060,Cancer gracilis,graceful rock crab,86,Misc. crabs
68020,Cancer magister,Dungeness crab,86,Misc. crabs
68040,Cancer oregonensis,Oregon rock crab,86,Misc. crabs
68050,Cancer productus,red rock crab,86,Misc. crabs
68010,Cancer sp.,cancer crab unid.,86,Misc. crabs
68570,Chionoecetes angulatus,triangle Tanner crab,86,Misc. crabs
68580,Chionoecetes opilio,snow crab,86,Misc. crabs
