"year","stratum_bin","lbin","specimen_count","mean_log_diff"
1980,"Central","[30,60)",30,0.237232706244105
1980,"Central","[60,85)",28,0.160729155053187
1980,"Central","[85,999)",7,0.199617416130424
1983,"Central","[10,30)",29,0.0398507048434725
1983,"Central","[30,60)",76,0.0102452625673408
1983,"Central","[60,85)",144,0.0612580151678504
1983,"Central","[85,999)",32,0.010316724838394
1983,"East","[10,30)",15,0.0334823573155337
1983,"East","[30,60)",387,0.0376945203243427
1983,"East","[60,85)",341,0.0422819663866412
1983,"East","[85,999)",42,0.0108021766015348
1986,"BeringGoa","[30,60)",53,0.00260719496459353
1986,"BeringGoa","[60,85)",5,-0.00490946026418051
1986,"Central","[30,60)",163,0.00726436463696115
1986,"Central","[60,85)",96,-0.0107975043159874
1986,"Central","[85,999)",3,-0.0227123216801465
1986,"East","[10,30)",2,0.0428259231085288
1986,"East","[30,60)",182,0.0027667417663326
1986,"East","[60,85)",52,-0.0236245024675685
1986,"East","[85,999)",1,-0.0506602550181263
1986,"West","[30,60)",165,-0.0109477166786825
1986,"West","[60,85)",180,0.00412849993406861
1986,"West","[85,999)",14,-0.072545562570496
1991,"BeringGoa","[10,30)",17,0.249804691354444
1991,"BeringGoa","[30,60)",29,0.0606154932563514
1991,"BeringGoa","[60,85)",1,0.0136516288536654
1991,"Central","[10,30)",1,0.121244575704451
1991,"Central","[30,60)",69,0.0502406127586731
1991,"Central","[60,85)",16,0.104709256271517
1991,"Central","[85,999)",1,0.00766218563432552
1991,"East","[10,30)",3,0.100433898604937
1991,"East","[30,60)",181,0.0353610694450945
1991,"East","[60,85)",140,-0.00688844941631712
1991,"East","[85,999)",8,0.0440367234223689
1991,"West","[10,30)",1,0.118279367947649
1991,"West","[30,60)",62,0.0162498174946027
1991,"West","[60,85)",76,0.0428612381045473
1991,"West","[85,999)",8,0.105364886922566
1994,"BeringGoa","[10,30)",8,0.148703203768183
1994,"BeringGoa","[30,60)",69,-0.017043933083804
1994,"BeringGoa","[60,85)",39,-0.00416973751557287
1994,"BeringGoa","[85,999)",11,0.0131718360166401
1994,"Central","[10,30)",35,0.0613144565810719
1994,"Central","[30,60)",156,0.0152377357354541
1994,"Central","[60,85)",116,0.0343217003688048
1994,"Central","[85,999)",92,0.0498447645388507
1994,"East","[10,30)",31,-0.00158556979072874
1994,"East","[30,60)",136,0.00396660936267056
1994,"East","[60,85)",92,-0.0196622634655916
1994,"East","[85,999)",48,0.00626103866519749
1994,"West","[10,30)",6,0.0728704604582744
1994,"West","[30,60)",61,0.018814820974023
1994,"West","[60,85)",117,0.0948961448004804
1994,"West","[85,999)",51,0.101017395327836
1997,"BeringGoa","[30,60)",28,-0.00279909117115488
1997,"BeringGoa","[60,85)",27,-0.0452360395760993
1997,"BeringGoa","[85,999)",18,0.00931648194876949
1997,"Central","[10,30)",33,0.00265247888250277
1997,"Central","[30,60)",69,-0.00604373165644989
1997,"Central","[60,85)",83,-0.000780086698152716
1997,"Central","[85,999)",61,0.00481430585778104
1997,"East","[10,30)",1,0.0758002034867662
1997,"East","[30,60)",86,-0.00550774922905123
1997,"East","[60,85)",80,-0.0456725117825743
1997,"East","[85,999)",30,0.00073457029138364
1997,"West","[10,30)",3,0.00042582286374356
1997,"West","[30,60)",82,-0.00239223560838372
1997,"West","[60,85)",67,0.0408327409531816
1997,"West","[85,999)",35,0.00956633172511141
2000,"BeringGoa","[10,30)",8,-0.0106765562852189
2000,"BeringGoa","[30,60)",66,-0.0139527198960342
2000,"BeringGoa","[60,85)",53,-0.0537749488900326
2000,"BeringGoa","[85,999)",12,-0.00284758739218323
2000,"Central","[10,30)",22,-0.00571423680211293
2000,"Central","[30,60)",65,0.0152225752138235
2000,"Central","[60,85)",98,0.0352422902413862
2000,"Central","[85,999)",41,0.0230773583212696
2000,"East","[10,30)",3,0.0247622474627215
2000,"East","[30,60)",96,-0.0169934874921574
2000,"East","[60,85)",93,-0.0591109051128073
2000,"East","[85,999)",28,-0.0515389793430414
2000,"West","[10,30)",5,0.0199929582431269
2000,"West","[30,60)",67,-0.0311927797535814
2000,"West","[60,85)",84,0.00284032990821641
2000,"West","[85,999)",43,0.00329542981332285
2002,"BeringGoa","[10,30)",17,-0.0372242910580141
2002,"BeringGoa","[30,60)",160,-0.0163955429749438
2002,"BeringGoa","[60,85)",91,-0.0581352994664929
2002,"BeringGoa","[85,999)",13,-0.0150044459623764
2002,"Central","[10,30)",14,0.0607313221469693
2002,"Central","[30,60)",87,-0.005800002424955
2002,"Central","[60,85)",89,0.0578365967058043
2002,"Central","[85,999)",62,0.0642990251310441
2002,"East","[10,30)",26,0.00125879520405091
2002,"East","[30,60)",213,-0.000911380745740783
2002,"East","[60,85)",154,-0.0272113611476038
2002,"East","[85,999)",31,0.0069468584689407
2002,"West","[10,30)",53,-0.0367095973722549
2002,"West","[30,60)",103,0.00152016543487391
2002,"West","[60,85)",72,0.00360653302578385
2002,"West","[85,999)",53,0.0137456451800132
2004,"BeringGoa","[10,30)",5,-0.0334642304951711
2004,"BeringGoa","[30,60)",64,-0.0387950169119403
2004,"BeringGoa","[60,85)",92,-0.0297899097245198
2004,"BeringGoa","[85,999)",47,-0.00570574951043985
2004,"Central","[30,60)",103,0.0193695056197478
2004,"Central","[60,85)",94,0.0541321085177031
2004,"Central","[85,999)",38,0.0665824584468608
2004,"East","[10,30)",8,-0.000204103615924656
2004,"East","[30,60)",73,-0.0146521208800174
2004,"East","[60,85)",78,-0.0167357316238273
2004,"East","[85,999)",32,0.00256334165731975
2004,"West","[10,30)",3,-0.0892428768781882
2004,"West","[30,60)",63,-0.0018426300220851
2004,"West","[60,85)",45,0.0687926323818488
2004,"West","[85,999)",22,0.0715516786447453
2006,"BeringGoa","[10,30)",2,-0.0992420034112249
2006,"BeringGoa","[30,60)",73,-0.0164991157023293
2006,"BeringGoa","[60,85)",52,-0.0632668917491402
2006,"BeringGoa","[85,999)",10,0.0188079561057645
2006,"Central","[10,30)",31,0.0030825176623623
2006,"Central","[30,60)",100,-0.00472992403442584
2006,"Central","[60,85)",97,0.019839362725815
2006,"Central","[85,999)",42,-0.0145265958940722
2006,"East","[10,30)",5,-0.0608405054325812
2006,"East","[30,60)",47,-0.0138768783130296
2006,"East","[60,85)",86,-0.0462443040100448
2006,"East","[85,999)",15,-0.00216343946249277
2006,"West","[10,30)",23,-0.0767261983754101
2006,"West","[30,60)",58,-0.0445296574859593
2006,"West","[60,85)",80,0.029328787829523
2006,"West","[85,999)",37,0.0152190266307854
2010,"BeringGoa","[10,30)",5,0.0846976318203622
2010,"BeringGoa","[30,60)",84,0.00657396486932522
2010,"BeringGoa","[60,85)",47,-0.074849549917503
2010,"BeringGoa","[85,999)",4,-0.0609376008324438
2010,"Central","[10,30)",4,0.0903073182764809
2010,"Central","[30,60)",119,0.00810845302146275
2010,"Central","[60,85)",85,0.0257950697348798
2010,"Central","[85,999)",15,-0.0398295966357685
2010,"East","[10,30)",2,0.00245118476210449
2010,"East","[30,60)",84,0.028128030842927
2010,"East","[60,85)",60,-0.00226940598538682
2010,"East","[85,999)",2,-0.0664170050982955
2010,"West","[10,30)",1,-1.01118519760902
2010,"West","[30,60)",68,0.0185073773496023
2010,"West","[60,85)",71,0.0501515706020077
2010,"West","[85,999)",29,0.0540161732559933
2012,"BeringGoa","[30,60)",50,-0.0522348699686145
2012,"BeringGoa","[60,85)",34,-0.115497112346109
2012,"Central","[10,30)",14,-0.0812141993420596
2012,"Central","[30,60)",85,-0.0250045627307056
2012,"Central","[60,85)",82,0.0334799973006224
2012,"Central","[85,999)",18,0.0164031052365708
2012,"East","[10,30)",11,0.0450550173811807
2012,"East","[30,60)",52,-0.0164436692761381
2012,"East","[60,85)",64,-0.0494421817662023
2012,"East","[85,999)",2,-0.0133539665053704
2012,"West","[10,30)",22,-0.00710285107589584
2012,"West","[30,60)",58,-0.00477843808377239
2012,"West","[60,85)",69,0.0236633110092097
2012,"West","[85,999)",37,0.00906181699834493
2014,"BeringGoa","[10,30)",2,-0.0108524813515962
2014,"BeringGoa","[30,60)",58,-0.0194516948549036
2014,"BeringGoa","[60,85)",27,-0.127267187924193
2014,"BeringGoa","[85,999)",1,-0.197347177434795
2014,"Central","[10,30)",6,-0.0305926827701586
2014,"Central","[30,60)",46,-0.0110906702121932
2014,"Central","[60,85)",45,0.0137302635271825
2014,"Central","[85,999)",7,0.044795610891786
2014,"East","[10,30)",7,-0.0440783729543915
2014,"East","[30,60)",67,-0.0204426571672829
2014,"East","[60,85)",59,-0.0974655561494522
2014,"East","[85,999)",12,-0.00275380870234117
2014,"West","[10,30)",23,-0.0149954954690002
2014,"West","[30,60)",79,-0.0191434105782128
2014,"West","[60,85)",74,0.00150007794033993
2014,"West","[85,999)",38,-0.0104557522211848
2016,"BeringGoa","[30,60)",65,-0.101811029022327
2016,"BeringGoa","[60,85)",44,-0.0729013459873399
2016,"BeringGoa","[85,999)",4,-0.0455960379355642
2016,"Central","[10,30)",7,-0.0394440417394959
2016,"Central","[30,60)",139,-0.0347849492030593
2016,"Central","[60,85)",53,-0.0322177193192092
2016,"Central","[85,999)",12,0.0685341816998274
2016,"East","[10,30)",11,-0.0831606824551484
2016,"East","[30,60)",122,-0.038147997200062
2016,"East","[60,85)",59,-0.0785846167554969
2016,"East","[85,999)",15,-0.0332359270331957
2016,"West","[10,30)",27,-0.00149952698618837
2016,"West","[30,60)",75,-0.0182684342009385
2016,"West","[60,85)",57,-0.0161627035897093
2016,"West","[85,999)",44,-0.00641831805491937
2018,"BeringGoa","[30,60)",16,-0.0214964416534482
2018,"BeringGoa","[60,85)",43,-0.0562966336748258
2018,"BeringGoa","[85,999)",6,-0.0424455196835621
2018,"Central","[10,30)",4,-0.130013878248785
2018,"Central","[30,60)",105,-0.0491491726612123
2018,"Central","[60,85)",53,0.00210379642189442
2018,"Central","[85,999)",7,0.0498736796829018
2018,"East","[30,60)",96,-0.0353209949584382
2018,"East","[60,85)",92,-0.0724160578840692
2018,"East","[85,999)",2,0.00288041370065084
2018,"West","[10,30)",7,-0.011366444394967
2018,"West","[30,60)",74,-0.0225840721797569
2018,"West","[60,85)",73,-0.0551647513262387
2018,"West","[85,999)",6,-0.07994165832595
2022,"BeringGoa","[30,60)",57,-0.0145683377720625
2022,"BeringGoa","[60,85)",56,-0.0152708948358221
2022,"BeringGoa","[85,999)",5,-0.111142662798494
2022,"Central","[10,30)",3,-0.0230654366626
2022,"Central","[30,60)",129,-0.0153135678451861
2022,"Central","[60,85)",80,-0.00119163838125735
2022,"Central","[85,999)",18,0.0264839492622785
2022,"East","[30,60)",123,-0.0203562857927955
2022,"East","[60,85)",107,-0.0754158843152614
2022,"East","[85,999)",8,-0.000412768265396046
2022,"West","[10,30)",11,0.00554196787139985
2022,"West","[30,60)",92,-0.015125639144737
2022,"West","[60,85)",62,0.00303135109709019
2022,"West","[85,999)",5,0.0312011321831051
